 80 81 6480
     0.000000000000000e+00 -1.0000000000000000000000000e+00 -6.6107604895788996124394998e-01 3.8647013367076799017496569e-01
     0.000000000000000e+00 -9.9830453355322001929295084e-01 -6.5940622333182696834796843e-01 3.8925184763022202538707006e-01
     0.000000000000000e+00 -9.9322858732732599573722609e-01 -6.5433720896967695335177950e-01 3.9753662893507102360501904e-01
     0.000000000000000e+00 -9.8480345621872200645441353e-01 -6.4569433325633696085787960e-01 4.1114193828709999500858885e-01
     0.000000000000000e+00 -9.7308108396233494730154234e-01 -6.3319955886125500743588645e-01 4.2975900908855002580111204e-01
     0.000000000000000e+00 -9.5813374288120800592594151e-01 -6.1649091035416003769853432e-01 4.5294715683521402649347465e-01
     0.000000000000000e+00 -9.4005358830360197242015374e-01 -5.9514918109316294891897314e-01 4.8012794846781997604168168e-01
     0.000000000000000e+00 -9.1895209039475100887273129e-01 -5.6873123216828003201328556e-01 5.1058116374558204508815606e-01
     0.000000000000000e+00 -8.9495934690622103158119671e-01 -5.3680876083274597920791393e-01 5.4344473452754904485573206e-01
     0.000000000000000e+00 -8.6822328108001700641693787e-01 -4.9901087745691302677286671e-01 5.7772087416549200433735223e-01
     0.000000000000000e+00 -8.3890872965260099292095219e-01 -4.5506823753123798459441218e-01 6.1229036656621405043665618e-01
     0.000000000000000e+00 -8.0719642658160095649577670e-01 -4.0485590815104499640142421e-01 6.4593645160031798457822561e-01
     0.000000000000000e+00 -7.7328188876086001446452656e-01 -3.4843170763399100575696821e-01 6.7737893040454100201941401e-01
     0.000000000000000e+00 -7.3737421059377195042827680e-01 -2.8606655053045498826591597e-01 7.0531807089226294937844841e-01
     0.000000000000000e+00 -6.9969477485675102279572002e-01 -2.1826345459538198934268394e-01 7.2848671435789202899258044e-01
     0.000000000000000e+00 -6.6047588780079902193165253e-01 -1.4576238483896999942324157e-01 7.4570780172046302602950618e-01
     0.000000000000000e+00 -6.1995934690622100937673622e-01 -6.9529034307103609879874284e-02 7.5595351167459701180462162e-01
     0.000000000000000e+00 -5.7839495012074804147772511e-01 9.2730807600495557957431814e-03 7.5840149521965605217133088e-01
     0.000000000000000e+00 -5.3603895577212701262226346e-01 8.9326320870944719843009807e-02 7.5248343990568999917201154e-01
     0.000000000000000e+00 -4.9315250265031501664125813e-01 1.6921595349818299713895442e-01 7.3792148871400298215661451e-01
     0.000000000000000e+00 -4.5000000000000001110223025e-01 2.4749661741545000981368219e-01 7.1474888478633302746345635e-01
     0.000000000000000e+00 -4.0684749734968500556320237e-01 3.2276323909483001228792887e-01 6.8331254206536096162949434e-01
