 80 81 6480
     0.000000000000000e+00 -1.0000000000000000000000000e+00 -5.9942362407091398512903879e-01 4.4965421472645000777745850e-01
     0.000000000000000e+00 -9.9845866686656403743427290e-01 -5.9768790464051002597756224e-01 4.5195880626668200052975521e-01
     0.000000000000000e+00 -9.9384417029756899619741262e-01 -5.9243857937020094617253108e-01 4.5881818140673702455245575e-01
     0.000000000000000e+00 -9.8618496019883794545535238e-01 -5.8355225319952697127234842e-01 4.7006846490838199992268187e-01
     0.000000000000000e+00 -9.7552825814757704314672537e-01 -5.7083355071419494830564645e-01 4.8543449742945599112431410e-01
     0.000000000000000e+00 -9.6193976625564303617466066e-01 -5.5403028081523097991833993e-01 5.0452754320785997421694447e-01
     0.000000000000000e+00 -9.4550326209418400491557577e-01 -5.3285409607676703647172189e-01 5.2684353105050996113334350e-01
     0.000000000000000e+00 -9.2632008217704597807795608e-01 -5.0700596718921597805262991e-01 5.5176312231797897123186658e-01
     0.000000000000000e+00 -9.0450849718747394767603964e-01 -4.7620547254884298959964894e-01 5.7855504649954303530989819e-01
     0.000000000000000e+00 -8.8020298280001596502586381e-01 -4.4022253493982399508155368e-01 6.0638413043771999255682204e-01
     0.000000000000000e+00 -8.5355339059327395290210916e-01 -3.9890985574888099263191066e-01 6.3432524851369498364306310e-01
     0.000000000000000e+00 -8.2472402416509205114181214e-01 -3.5223395364598297785363457e-01 6.6138403051062399917725543e-01
     0.000000000000000e+00 -7.9389262614623601344021608e-01 -3.0030247181739599948713249e-01 6.8652459485143602080370329e-01
     0.000000000000000e+00 -7.6124928235797395537076682e-01 -2.4338534047310900199079242e-01 7.0870386619402903072284516e-01
     0.000000000000000e+00 -7.2699524986977304141788636e-01 -1.8192752489199900955973987e-01 7.2691125290661395830227320e-01
     0.000000000000000e+00 -6.9134171618254502966749442e-01 -1.1655148742786400339888075e-01 7.4021168910924795003580812e-01
     0.000000000000000e+00 -6.5450849718747394767603964e-01 -4.8048145957946472583977027e-02 7.4778938852168996831437653e-01
     0.000000000000000e+00 -6.1672268192795298702435502e-01 2.2644016525169931297600812e-02 7.4898921382838901106282492e-01
     0.000000000000000e+00 -5.7821723252011503202396625e-01 9.4471023133210790811986612e-02 7.4335241958565501096956041e-01
     0.000000000000000e+00 -5.3922954786392196524502651e-01 1.6630494174852100686123890e-01 7.3064373005297400531787844e-01
     0.000000000000000e+00 -5.0000000000000000000000000e-01 2.3699222744954601127531646e-01 7.1086727174925101735425415e-01
     0.000000000000000e+00 -4.6077045213607698004310009e-01 3.0540547512445898048483173e-01 6.8426974920695005089044116e-01
     0.000000000000000e+00 -4.2178276747988502348718498e-01 3.7049478220959397578582184e-01 6.5133033882295099381565251e-01
     0.000000000000000e+00 -3.8327731807204701297564498e-01 4.3133490047022698954393150e-01 6.1273795178045498133201363e-01
     0.000000000000000e+00 -3.4549150281252599681280913e-01 4.8716472953672701473593065e-01 5.6935763823029494901106773e-01
     0.000000000000000e+00 -3.0865828381745502584365681e-01 5.3741642745552897775240808e-01 5.2218883310227004468373480e-01
     0.000000000000000e+00 -2.7300475013022701409326487e-01 5.8173239062134596277786613e-01 4.7231876907206399307526112e-01
     0.000000000000000e+00 -2.3875071764202598911808195e-01 6.1996946059104496296043862e-01 4.2087463911505001989965535e-01
